,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math
112,2023,Hampden Charter School of Science West (District),35160000,23,95.7,0,0,0,4.3,0,35160000,0.5,1.4,12.4,28.2,2.4,0,55,48.8,51.2,1,nil,nil
113,2023,Hampden-Wilbraham,6800000,223,95.1,0.9,1.3,0,2.7,0,6800000,0.2,2.7,2.5,7.1,3.2,0.1,84.2,50.2,49.8,183,562,570
114,2023,Hampshire,6830000,96,97.9,1,0,0,1,0,6830000,0,0.8,0.6,2.8,2.5,0,93.3,52.9,47,34,640,616
115,2023,Hanover,1220000,160,98.8,0,0,0,1.3,0,1220000,0,2.3,0.9,2.3,0.6,0,93.8,47.6,52.4,217,577,551
116,2023,Harvard,1250000,72,95.8,4.2,0,0,0,0,1250000,0,11.2,2.1,4,3.1,0,79.6,50.7,49.2,82,639,626
117,2023,Hatfield,1270000,20,100,0,0,0,0,0,1270000,0,1.4,0.5,4.8,2.5,0,90.8,48.2,51.4,12,599,543
118,2023,Haverhill,1280000,371,82.5,9.7,1.1,0,6.7,0,1280000,0.2,1.7,4.4,36.9,2.1,0.1,54.5,48.1,51.9,151,553,542
119,2023,Hingham,1310000,308,97.1,2.3,0,0.3,0.3,0,1310000,0,2.6,1.2,3.1,2.9,0,90.1,48.6,51.4,312,620,607
120,2023,Holbrook,1330000,75,90.7,2.7,0,0,6.7,0,1330000,0.2,4.9,21,13.4,7.9,0,52.5,47.8,52.1,30,529,511
121,2023,Holliston,1360000,192,94.8,3.1,0,0,2.1,0,1360000,0.2,8.3,1,5.1,3,0,82.5,48.1,51.8,186,612,601
122,2023,Holyoke,1370000,322,78,7.5,2.8,0,11.8,0,1370000,0.1,0.8,3.1,81,1.2,0,13.8,47.2,52.7,74,491,460
123,2023,Hoosac Valley Regional,6030000,45,88.9,2.2,0,0,8.9,0,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,22,524,539
124,2023,Hopedale,1380000,62,85.5,8.1,1.6,0,4.8,0,1380000,0.6,1.6,0.9,5.7,4.1,0.2,86.8,48.2,51.8,59,593,580
125,2023,Hopkinton,1390000,294,98.6,0.7,0.3,0,0.3,0,1390000,0.2,17.1,0.7,3.5,3.4,0,75.1,49.6,50.4,291,621,635
126,2023,Hudson,1410000,155,91,2.6,0,0,6.5,0,1410000,0.1,1.9,1.8,11.8,2.6,0,81.7,50.8,49.2,84,553,536
127,2023,Hull,1420000,58,96.6,1.7,0,0,1.7,0,1420000,0,1.6,1.4,1.9,2,0,93.1,46.6,53.4,43,585,551
128,2023,Innovation Academy Charter (District),4350000,80,90,7.5,0,0,2.5,0,4350000,0.1,7.7,5.8,7.5,5,0,73.9,53.1,46.9,29,614,612
129,2023,Ipswich,1440000,115,95.7,1.7,0,0,2.6,0,1440000,0.1,1.8,1.2,5.5,4.1,0,87.4,50.6,49.3,105,597,579
130,2023,King Philip,6900000,250,97.2,2.4,0,0,0.4,0,6900000,0,2.2,1.9,3,1.9,0,90.9,48,51.9,299,584,570
131,2023,KIPP Academy Lynn Charter (District),4290000,103,96.1,1.9,1,0,1,0,4290000,0.1,3.2,20.3,67.4,3,0.1,5.9,51,49,10,500,492
