...1,Year,District Name,District Code_x,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,District Code_y,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Tests Taken,Reading / Writing,Math,Student / Teacher Ratio,Low Income %.y
132,2023,lawrence,1490000,650,79.7,10.2,4.2,0.3,5.7,0,1490000,0,1.2,1.3,93.4,0.4,0,3.7,47.3,52.5,414,418,415,11.3,85.1
133,2023,lee,1500000,52,98.1,1.9,0,0,0,0,1500000,0.1,3.4,0.6,8.5,2.6,0,84.8,49.8,50.2,35,528,531,8.9,41.2
134,2023,leicester,1510000,86,90.7,1.2,0,0,8.1,0,1510000,0.2,2.6,5.4,8.9,2.7,0.1,80.1,45.8,54.1,47,569,564,12.2,39.9
135,2023,lenox,1520000,58,100,0,0,0,0,0,1520000,0,4.4,0.4,8.5,3.8,0,82.9,50,50,34,642,639,9.6,24.3
136,2023,leominster,1530000,405,95.1,2.5,1,0,1.5,0,1530000,0.1,3.2,8.2,34.9,4.2,0.1,49.3,47.9,52,137,557,546,13.7,54.5
137,2023,lexington,1550000,552,97.6,2,0,0,0.4,0,1550000,0.1,39.3,4,4,6.8,0,45.9,49.1,50.9,613,659,679,10.5,8.5
138,2023,lincoln-sudbury,6950000,339,96.2,3.2,0,0.3,0.3,0,6950000,0.1,6.2,4.8,4.6,4.4,0.1,79.8,47.2,52.8,387,627,640,11.4,9.2
139,2023,littleton,1580000,104,98.1,1.9,0,0,0,0,1580000,0.2,9.3,0.9,1.8,2.8,0.2,84.8,52.1,47.8,115,607,597,13.6,9.6
140,2023,longmeadow,1590000,201,97.5,1,0,0,1.5,0,1590000,0,9.9,2.4,5,3.8,0.1,78.7,49,51,213,608,603,11.3,11.9
141,2023,lowell,1600000,562,78.1,6.6,3,0.2,12.1,0,1600000,0.1,28.7,7.9,33.1,3.9,0,26.4,48.4,51.6,267,532,535,12.3,72.3
142,2023,ludlow,1610000,192,92.7,2.1,1,0,4.2,0,1610000,0.4,0.7,2,10.8,2.6,0,83.5,49.5,50.5,98,560,562,11.6,38.7
143,2023,lunenburg,1620000,88,100,0,0,0,0,0,1620000,0.4,2,2.1,7,2.1,0.3,86.1,48.6,51.4,91,576,591,13.9,24.7
144,2023,lynn,1630000,1068,81.2,3,3.2,0.2,12.5,0,1630000,0.3,8.5,9.2,63,3.5,0,15.4,47.5,52.4,232,499,478,12.2,73.5
145,2023,lynnfield,1640000,126,96.8,3.2,0,0,0,0,1640000,0,6,1.7,5.3,2.7,0,84.2,50.1,49.9,160,574,567,13.7,10.1
146,2023,malden,1650000,350,88.6,5.4,0.3,0.3,5.4,0,1650000,0.1,23.2,19.3,24.7,4.2,0,28.4,48.2,51.7,401,495,511,13.6,60.7
147,2023,manchester essex regional,6980000,115,99.1,0.9,0,0,0,0,6980000,0,0.9,0.6,1.3,1.1,0,96.1,50.8,49.2,105,622,594,9.6,13.4
148,2023,mansfield,1670000,286,95.5,4.5,0,0,0,0,1670000,0.1,6.6,3.6,4.7,3.8,0,81.3,47.6,52.4,270,582,574,11.4,19.6
150,2023,marblehead,1680000,212,98.6,1.4,0,0,0,0,1680000,0.1,1.6,2.8,6.9,3.2,0,85.4,49.4,50.6,213,592,570,10.6,13
151,2023,marlborough,1700000,208,88.5,2.9,1,0,7.7,0,1700000,0.1,3.5,3.6,49,2.6,0.1,41.1,48.1,51.9,153,513,496,11.5,58.3
152,2023,marshfield,1710000,300,96.3,1.3,0.3,0,2,0,1710000,0.1,1.2,0.4,2.9,1.7,0.1,93.5,48.8,51.2,257,574,563,11.3,18.8
153,2023,martha's vineyard,7000000,162,92,2.5,0.6,0,4.9,0,7000000,2.5,1.1,4.8,15.7,3.4,0.6,71.8,44.7,55.1,129,570,550,8.5,36.6
